source_center,destination_center,source_name,destination_name,median_factor,total_trips,median_osrm_dist_km,pct_delayed,is_sparse,is_chronically_delayed
IND271001AAA,IND271210AAA,Gonda_KotwaliN_D (Uttar Pradesh),Tulsipur_Central_DPP_1 (Uttar Pradesh),50.72,1,70.69439999999999,1.0,True,True
IND631501AAA,IND600056AAB,Kanchipuram_DC (Tamil Nadu),MAA_Poonamallee_HB (Tamil Nadu),48.5,1,44.9726,1.0,True,True
IND208012AAA,IND209304AAA,Kanpur_Central_D_7 (Uttar Pradesh),Kanpur_Central_H_6 (Uttar Pradesh),41.5,13,18.1243,1.0,False,True
IND785634AAA,IND785001AAA,Mariani_Mainroad_D (Assam),Jorhat_RicMilRd_D (Assam),31.2,3,19.7611,1.0,True,True
IND212402AAA,IND211002AAB,Phulpur_Shekhpur_D (Uttar Pradesh),Allahabad_Central_H_1 (Uttar Pradesh),29.13888888888889,13,48.8429,1.0,False,True
IND792121AAB,IND786181AAC,Jairampur_Mdiclcly_D (Arunachal Pradesh),Margherita_CivilHPL_D (Assam),28.90322580645161,11,42.0052,1.0,False,True
IND221313AAA,IND232101AAB,Varanasi_Central_H_4 (Uttar Pradesh),MughalSarai_Central_D_2 (Uttar Pradesh),28.72727272727273,3,29.6438,1.0,True,True
IND221010AAB,IND232101AAB,Varanasi_MahmurGj_IP (Uttar Pradesh),MughalSarai_Central_D_2 (Uttar Pradesh),27.0,1,25.0859,1.0,True,True
IND416606AAA,IND416510AAA,Malvan_BllvMarg_D (Maharashtra),Sawantwadi_LaxmiNgr_D (Maharashtra),26.88091787439613,10,47.279250000000005,1.0,False,True
IND802212AAA,IND821115AAB,Bikramgang_Dehrird_D (Bihar),Sasaram_Central_I_2 (Bihar),23.73809523809524,7,44.7679,1.0,False,True
IND842003AAB,IND482002AAA,Jabalpur_Adhartal_IP (Madhya Pradesh),Jabalpur (Madhya Pradesh),23.1875,4,10.4497,1.0,True,True
IND518002AAA,IND518206AAA,Kurnool_AbbasNgr_I (Andhra Pradesh),Betamcherla_CmtNgRod_D (Andhra Pradesh),22.56,1,57.683800000000005,1.0,True,True
IND424304AAC,IND424006AAA,Sakri_DhuleRoad_D (Maharashtra),Dhule_MIDCAvdn_I (Maharashtra),22.313662790697673,2,56.7526,1.0,True,True
IND425405AAA,IND424006AAA,Shirpur_KrantiNgr_D (Maharashtra),Dhule_MIDCAvdn_I (Maharashtra),21.232475598935224,14,64.5275,1.0,False,True
IND209801AAA,IND209304AAA,Unnao_VikasRam_D (Uttar Pradesh),Kanpur_Central_H_6 (Uttar Pradesh),20.75757575757576,5,46.0073,1.0,False,True
IND722140AAA,IND723130AAA,Khatra_KoralDPP_D (West Bengal),Hura_Central_D_1 (West Bengal),19.130434782608692,1,77.2476,1.0,True,True
IND121002AAA,IND121004AAB,Faridabad_Old (Haryana),FBD_Balabhgarh_DPC (Haryana),19.08333333333333,1,11.2338,1.0,True,True
IND221313AAA,IND222136AAA,Varanasi_Central_H_4 (Uttar Pradesh),Jalalpur_Mhimapur_D (Uttar Pradesh),18.35,1,56.2867,1.0,True,True
IND208017AAA,IND209304AAA,Kanpur_Central_D_5 (Uttar Pradesh),Kanpur_Central_H_6 (Uttar Pradesh),16.947916666666664,6,13.82065,1.0,False,True
IND221313AAA,IND221401AAA,Varanasi_Central_H_4 (Uttar Pradesh),Bhadohi_Rajpura_D (Uttar Pradesh),16.714285714285715,1,47.8665,1.0,True,True
IND283122AAB,IND282005AAA,Kirauli_AchneraRD_D (Uttar Pradesh),Agra (Uttar Pradesh),16.708333333333332,3,27.7435,1.0,True,True
IND482002AAA,IND842003AAB,Jabalpur (Madhya Pradesh),Jabalpur_Adhartal_IP (Madhya Pradesh),15.75,1,10.4909,1.0,True,True
IND151103AAA,IND151001AAA,RampuraPhul_DC (Punjab),Bhatinda_DPC (Punjab),15.672364672364672,2,28.80985,1.0,True,True
IND743270AAA,IND712311AAA,Helencha_ColnyDPP_D (West Bengal),Kolkata_Dankuni_HB (West Bengal),15.35135135135135,5,98.5604,1.0,False,True
IND741201AAC,IND712311AAA,Ranaghat_ArickDPP_D (West Bengal),Kolkata_Dankuni_HB (West Bengal),15.271929824561402,4,80.20495,1.0,True,True
IND785112AAC,IND785001AAA,Teok_Wardno3_D (Assam),Jorhat_RicMilRd_D (Assam),15.085526315789474,2,28.3002,1.0,True,True
IND722151AAA,IND723130AAA,Simlapal_Central_D_1 (West Bengal),Hura_Central_D_1 (West Bengal),15.060049019607842,8,89.35215,1.0,False,True
