source_center,destination_center,route_type,overall_median_factor,total_trips,median_osrm_dist,median_osrm_time,pct_delayed
IND000000AAL,IND411033AAA,Carting,2.6950000000000003,18,24.50055,27.0,1.0
IND000000AAQ,IND700028AAB,Carting,6.071428571428571,2,13.90065,14.0,1.0
IND000000AAS,IND783370AAC,FTL,1.7666666666666666,9,41.7822,30.0,1.0
IND000000AAZ,IND444203AAA,FTL,6.020833333333333,1,67.4982,48.0,1.0
IND000000AAZ,IND444303AAA,FTL,4.0,1,53.7322,40.0,1.0
IND000000ABA,IND683565AAA,Carting,1.0476190476190474,6,18.4681,21.0,0.3333333333333333
IND000000ABD,IND562132AAA,FTL,1.704054054054054,12,443.66679999999997,370.0,1.0
IND000000ABG,IND501359AAF,Carting,7.0,11,32.6832,27.0,1.0
IND000000ACA,IND140406AAA,FTL,1.7567567567567568,2,51.5829,37.0,1.0
IND000000ACA,IND142001AAB,FTL,1.7457627118644068,9,76.222,56.0,1.0
IND000000ACA,IND142401AAA,FTL,1.9210526315789473,12,27.6177,19.5,0.9166666666666666
IND000000ACA,IND143001AAA,FTL,1.7027027027027026,1,155.23260000000002,111.0,1.0
IND000000ACA,IND144001AAB,FTL,1.6041666666666667,17,69.4616,49.0,1.0
IND000000ACA,IND144514AAA,FTL,1.8174603174603172,12,85.45885,63.0,0.8333333333333334
IND000000ACA,IND147301AAA,FTL,1.7037037037037035,3,37.1418,27.0,1.0
IND000000ACA,IND152026AAA,FTL,1.5299145299145298,1,154.5822,117.0,1.0
IND000000ACA,IND160002AAC,Carting,1.8309859154929575,1,101.2354,71.0,1.0
IND000000ACA,IND160002AAC,FTL,2.07258064516129,70,88.7884,62.0,1.0
IND000000ACB,IND000000AEL,Carting,1.7704918032786885,23,60.6693,62.0,1.0
IND000000ACB,IND110024AAA,Carting,2.07658371040724,6,59.611999999999995,66.5,1.0
IND000000ACB,IND110030AAD,Carting,1.6726844583987441,28,49.427800000000005,50.0,0.9285714285714286
IND000000ACB,IND110037AAK,Carting,1.8157894736842104,39,38.808800000000005,38.0,1.0
IND000000ACB,IND110043AAA,Carting,1.725,17,38.085800000000006,37.0,1.0
IND000000ACB,IND110043AAC,Carting,1.945454545454545,9,52.015,55.0,1.0
IND000000ACB,IND110052AAA,Carting,1.500324464633355,2,65.72460000000001,68.0,1.0
IND000000ACB,IND110064AAA,Carting,1.6032786885245902,48,55.7743,58.0,0.8958333333333334
IND000000ACB,IND110085AAB,Carting,1.622366110623354,24,65.32855,67.0,0.9166666666666666
IND000000ACB,IND110092AAC,Carting,1.6575342465753424,5,69.59060000000001,74.0,1.0
IND000000ACB,IND110095AAB,Carting,1.9802631578947367,36,71.33865,76.0,0.5833333333333334
IND000000ACB,IND121002AAB,Carting,1.876923076923077,57,77.75919999999999,65.0,1.0
IND000000ACB,IND121004AAB,Carting,1.796875,31,77.9212,65.0,1.0
IND000000ACB,IND122001AAA,Carting,1.7352941176470589,57,35.4405,34.0,0.9298245614035088
IND000000ACB,IND122015AAC,Carting,2.4449579831932775,2,35.485749999999996,34.5,1.0
IND000000ACB,IND124103AAA,FTL,1.8333333333333333,13,49.3821,47.0,1.0
IND000000ACB,IND124112AAA,FTL,2.157303370786517,7,112.5815,90.0,1.0
IND000000ACB,IND125001AAA,FTL,2.201492537313433,15,170.2434,135.0,1.0
IND000000ACB,IND125005AAA,FTL,1.9522058823529411,4,170.56535,135.5,1.0
IND000000ACB,IND125033AAA,FTL,2.286087570621469,2,152.07659999999998,119.0,1.0
IND000000ACB,IND127021AAA,FTL,1.9444444444444442,2,123.54990000000001,99.0,1.0
IND000000ACB,IND131028AAB,Carting,2.074076147816349,92,86.35195000000002,97.0,1.0
IND000000ACB,IND160002AAC,FTL,2.205188679245283,58,280.16115,211.0,1.0
IND000000ACB,IND201001AAC,Carting,1.8736263736263736,4,86.0572,91.0,1.0
IND000000ACB,IND201007AAA,Carting,1.5974025974025974,9,72.811,77.0,0.7777777777777778
IND000000ACB,IND201301AAF,Carting,1.425,9,75.2903,78.0,0.8888888888888888
IND000000ACB,IND201301AAM,Carting,2.6202531645569622,39,79.85239999999999,81.0,1.0
IND000000ACB,IND209304AAA,FTL,2.2803738317757007,15,444.1549,321.0,1.0
IND000000ACB,IND282002AAD,FTL,1.905109489051095,9,183.2081,136.0,1.0
IND000000ACB,IND301001AAB,FTL,1.7142857142857142,6,114.76365,91.0,1.0
IND000000ACB,IND301705AAA,FTL,3.75,1,62.9226,56.0,1.0
IND000000ACB,IND302014AAA,FTL,1.8794117647058823,30,221.2688,169.0,1.0
IND000000ACB,IND302022AAD,FTL,1.6913702007749207,20,221.44150000000002,168.5,1.0
IND000000ACB,IND328001AAA,FTL,1.818181818181818,5,244.709,198.0,1.0
IND000000ACB,IND382430AAB,FTL,1.860759493670886,17,873.1134000000001,632.0,1.0
IND000000ACB,IND390022AAA,FTL,1.7827338129496404,11,913.3769,695.0,1.0
IND000000ACB,IND411033AAA,FTL,1.7695691890617633,22,1361.7046,1010.0,1.0
IND000000ACB,IND421302AAG,FTL,1.9273858921161824,33,1322.4025,963.0,1.0
IND000000ACB,IND462022AAA,FTL,1.8545841853631164,18,813.9510499999999,588.0,1.0
IND000000ACB,IND474003AAA,FTL,4.475174978127734,2,304.9602,253.0,1.0
IND000000ACB,IND501359AAE,FTL,1.909871244635193,29,1562.7023000000002,1165.0,1.0
IND000000ACB,IND521225AAB,FTL,1.9508580343213728,11,1728.231,1282.0,1.0
IND000000ACB,IND562132AAA,FTL,1.8991700527248199,66,2064.1822,1509.0,1.0
IND000000ACB,IND600056AAB,FTL,1.8605590062111803,14,2190.2241,1610.0,1.0
IND000000ACB,IND712311AAA,FTL,2.032003219425158,48,1427.93005,1016.0,1.0
IND000000ACB,IND751002AAB,FTL,2.0403087478559176,15,1638.6996,1167.0,1.0
IND000000ACB,IND821115AAB,FTL,2.0533625066393597,18,900.8994499999999,646.0,1.0
IND000000ACB,IND834002AAB,FTL,1.8854289071680377,16,1192.90015,851.0,1.0
IND000000ACB,IND842001AAA,FTL,2.047425474254742,19,995.4546,737.0,1.0
IND000000ACK,IND501359AAF,Carting,3.2739130434782613,32,25.954900000000002,21.0,1.0
IND000000ACN,IND501359AAF,Carting,2.284313725490196,16,21.381,18.0,1.0
IND000000ACT,IND000000ACB,Carting,1.6744186046511629,43,42.7567,41.0,0.9534883720930233
IND000000ACT,IND000000ACB,FTL,1.2093023255813953,57,43.7548,43.0,0.5263157894736842
IND000000ACT,IND131028AAB,Carting,1.648148148148148,39,43.3454,56.0,0.9487179487179487
IND000000ACT,IND160002AAC,FTL,2.0372340425531914,21,226.1991,188.0,1.0
IND000000ADM,IND683511AAA,Carting,3.3076923076923075,1,24.4293,26.0,1.0
IND000000ADV,IND600044AAC,Carting,2.0533428165007113,18,47.5303,37.0,1.0
IND000000AEL,IND000000ACB,Carting,1.8448275862068968,17,63.1293,58.0,1.0
IND000000AEM,IND110037AAB,Carting,4.421052631578948,11,39.8704,39.0,1.0
