rank,center,name,legs_out,breaches,legs_in,breaches_in,breach_rate,network_breach_share_pct,recoverable_breaches,revenue_at_risk_rs,revenue_recoverable_rs,betweenness,in_degree,out_degree,avg_incoming_delay_factor,bottleneck_score,clustering,rankable
1,IND421302AAG,Bhiwandi_Mankoli_HB (Maharashtra),821,304,583.0,253.0,0.3702801461632156,3.9357845675815644,81.0,152000.0,40500.0,0.054239531307541,27.0,27.0,2.398480664618793,0.1300924670991227,0.0623885918003565,True
2,IND400072AAB,Mumbai Hub (Maharashtra),300,170,234.0,107.0,0.5666666666666667,2.200932159502848,88.0,85000.0,44000.0,0.004996699358341,11.0,9.0,2.615700549273936,0.0130698692561693,0.0769230769230769,True
3,IND000000ACB,Gurgaon_Bilaspur_HB (Haryana),1063,152,928.0,164.0,0.14299153339604892,1.9678922837907822,0.0,76000.0,0.0,0.2139032235358459,41.0,48.0,2.13914970320278,0.4575710171408227,0.0382205513784461,True
4,IND712311AAA,Kolkata_Dankuni_HB (West Bengal),261,147,219.0,121.0,0.5632183908045977,1.9031589849818749,76.0,73500.0,38000.0,0.0840398186857748,21.0,20.0,3.2355576223719944,0.2719156759315192,0.041871921182266,True
5,IND411033AAA,Pune_Tathawde_H (Maharashtra),396,96,326.0,102.0,0.24242424242424243,1.2428793371310203,0.0,48000.0,0.0,0.0410153553151579,22.0,19.0,2.089230254354923,0.085690521217545,0.0608465608465608,True
6,IND562132AAA,Bangalore_Nelmngla_H (Karnataka),768,83,665.0,84.0,0.10807291666666667,1.0745727602278612,0.0,41500.0,0.0,0.1199941083671602,36.0,35.0,1.855315462261053,0.2226269246338209,0.0501700680272108,True
7,IND110037AAM,Delhi_Airport_H (Delhi),256,78,188.0,63.0,0.3046875,1.0098394614189539,8.0,39000.0,4000.0,0.0308106240994679,18.0,22.0,2.1653872831861944,0.0667169336120179,0.064367816091954,True
8,IND842001AAA,Muzaffrpur_Bbganj_I (Bihar),178,78,158.0,122.0,0.43820224719101125,1.0098394614189539,30.0,39000.0,15000.0,0.0244321793565016,11.0,15.0,5.6127322986738255,0.1371312822012286,0.0513833992094861,True
9,IND560300AAA,Bengaluru_KGAirprt_HB (Karnataka),331,77,278.0,36.0,0.2326283987915408,0.9968928016571725,0.0,38500.0,0.0,0.0055638734815711,4.0,12.0,2.009345972593103,0.0111797467722126,0.2179487179487179,True
10,IND560099AAB,Bengaluru_Bomsndra_HB (Karnataka),466,75,352.0,90.0,0.1609442060085837,0.9709994821336096,0.0,37500.0,0.0,0.0025084047977983,10.0,15.0,2.109960843805829,0.0052926359037691,0.1691176470588235,True
11,IND600056AAB,MAA_Poonamallee_HB (Tamil Nadu),300,75,241.0,38.0,0.25,0.9709994821336096,0.0,37500.0,0.0,0.0390644650216516,18.0,18.0,2.0418382077817525,0.0797633172477622,0.0592885375494071,True
12,IND209304AAA,Kanpur_Central_H_6 (Uttar Pradesh),220,64,172.0,68.0,0.2909090909090909,0.8285862247540134,4.0,32000.0,2000.0,0.0321776580670772,15.0,13.0,5.615284947179818,0.180686718979558,0.0216450216450216,True
13,IND302014AAB,Jaipur_Central_I_7 (Rajasthan),149,62,66.0,35.0,0.4161073825503356,0.8026929052304504,21.0,31000.0,10500.0,7.490096428056237e-05,7.0,11.0,2.67678877192424,0.0002004940601925,0.0256410256410256,True
14,IND400072AAD,Mumbai_Chndivli_PC (Maharashtra),99,55,85.0,54.0,0.5555555555555556,0.7120662868979802,28.0,27500.0,14000.0,0.0005649614404229,3.0,1.0,3.1144078144078144,0.0017595203248922,0.0,True
15,IND501359AAE,Hyderabad_Shamshbd_H (Telangana),328,55,405.0,113.0,0.1676829268292683,0.7120662868979802,0.0,27500.0,0.0,0.0883397291826111,30.0,26.0,2.372165560766802,0.2095564632144561,0.041025641025641,True
16,IND131028AAB,Sonipat_Kundli_H (Haryana),245,51,329.0,72.0,0.20816326530612245,0.6602796478508545,0.0,25500.0,0.0,0.0434767505003903,19.0,18.0,2.155146051447184,0.0936987471706706,0.0344827586206896,True
17,IND462022AAA,Bhopal_Trnsport_H (Madhya Pradesh),121,46,143.0,62.0,0.38016528925619836,0.5955463490419471,13.0,23000.0,6500.0,0.0254728742197988,13.0,9.0,2.4536502295445044,0.0625015236765678,0.0718954248366013,True
18,IND382430AAB,Ahmedabad_East_H_1 (Gujarat),280,43,257.0,105.0,0.15357142857142858,0.5567063697566028,0.0,21500.0,0.0,0.0304160975652777,16.0,12.0,2.389463385203692,0.0726781514530142,0.0434782608695652,True
19,IND421302AAR,Mumbai_East_I_21 (Maharashtra),58,43,63.0,40.0,0.7413793103448276,0.5567063697566028,27.0,21500.0,13500.0,0.0016240431302737,4.0,4.0,2.7972222222222225,0.0045428095338491,0.0,True
20,IND160002AAC,Chandigarh_Mehmdpur_H (Punjab),370,41,431.0,125.0,0.11081081081081082,0.5308130502330399,0.0,20500.0,0.0,0.0497085446972243,30.0,28.0,2.8217698380220506,0.1402660721185986,0.0301974448315911,True
21,IND781018AAB,Guwahati_Hub (Assam),90,40,88.0,49.0,0.4444444444444444,0.5178663904712585,15.0,20000.0,7500.0,0.0427304045691262,14.0,14.0,2.053763922843635,0.0877581633125842,0.0333333333333333,True
22,IND834002AAB,Ranchi_Hub (Jharkhand),80,39,66.0,38.0,0.4875,0.5049197307094769,17.0,19500.0,8500.0,0.0045967376619863,5.0,5.0,3.199783145118668,0.014708563693356,0.1785714285714285,True
23,IND401104AAA,Mumbai_MiraRd_IP (Maharashtra),83,38,185.0,126.0,0.4578313253012048,0.49197307094769555,15.0,19000.0,7500.0,0.0012049544015611,4.0,4.0,5.039124345390331,0.0060719150599918,0.2,True
24,IND500010AAB,Hyderabad_Alwal_L (Telangana),39,34,33.0,27.0,0.8717948717948718,0.4401864319005696,23.0,17000.0,11500.0,0.0,1.0,1.0,2.8375000000000004,0.0,0.0,True
25,IND712310AAE,Kolkata_North_I_4 (West Bengal),50,34,37.0,24.0,0.68,0.4401864319005696,20.0,17000.0,10000.0,1.1096439152675908e-05,3.0,3.0,2.736224580017683,3.036234956022241e-05,0.1333333333333333,True
26,IND400011AAA,LowerParel_CP (Maharashtra),65,33,19.0,19.0,0.5076923076923077,0.42723977213878817,15.0,16500.0,7500.0,0.000798151016196,2.0,2.0,2.6835407239819,0.0021418707558496,0.0,True
27,IND713205AAB,Durgapur_Central_I_1 (West Bengal),45,33,59.0,11.0,0.7333333333333333,0.42723977213878817,21.0,16500.0,10500.0,0.0138650007212685,6.0,10.0,2.0209478995202104,0.0280204440844938,0.0549450549450549,True
28,IND786181AAC,Margherita_CivilHPL_D (Assam),34,33,25.0,15.0,0.9705882352941176,0.42723977213878817,24.0,16500.0,12000.0,0.0019910182251087,3.0,3.0,2.813826854149435,0.0056023805489118,0.1666666666666666,True
29,IND600032AAB,Chennai_Hub (Tamil Nadu),123,32,75.0,31.0,0.2601626016260163,0.4142931123770067,0.0,16000.0,0.0,3.1704111864788306e-06,3.0,4.0,2.41890264877881,7.668916016691613e-06,0.5,True
