center,emb_0,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7
IND209625AAA,3.026986,0.0,2.5982106,0.0,3.096112,0.1040275,0.0,2.8506925
IND792001AAA,1.3259027,0.0,0.7926849,0.0,1.1617807,0.0,0.0,1.2381426
IND577535AAC,2.8807592,0.0,2.3044958,0.0,2.851427,0.112803616,0.0,2.6562862
IND273303AAA,2.3423848,0.0,1.9865488,0.0,2.4837291,0.0,0.0,2.1762068
IND742102AAB,5.453124,0.0,3.994836,0.0,4.2560873,0.0,0.0,4.7947445
IND793001AAA,3.3887808,0.0,2.1890883,0.0,3.0290926,0.0,0.0,3.176601
IND244301AAA,1.5888381,0.0,1.0174948,0.0,1.5122857,0.0,0.0,1.5789161
IND403601AAA,2.142995,0.0,1.8045181,0.0,2.5237246,0.0,0.0,2.1634395
IND621306AAA,0.21707267,0.0,0.08634684,0.0,0.20268315,0.0,0.0,0.17418206
IND501401AAC,4.0428348,0.0,3.5939295,0.0,4.105633,0.5553,0.0,3.759505
IND751015AAA,0.9685895,0.0,0.0,0.0,0.0,0.0,0.0,0.5826382
IND574227AAA,3.2916083,0.0,2.628384,0.0,3.3363273,0.0,0.0,3.1010427
IND505326AAB,3.5041432,0.0,2.3516095,0.0,2.7698753,0.0,0.0,3.1163049
IND248001AAD,2.6977046,0.0,1.7515589,0.0,2.6945798,0.0,0.0,2.6871147
IND333001AAA,2.0135672,0.0,1.6278605,0.0,2.1305406,0.0,0.0,1.9396533
IND624619AAA,2.2087896,0.0,1.9256747,0.0,2.3481374,0.0,0.0,2.1505024
IND764071AAB,3.1178896,0.0,2.2390087,0.0,2.8657281,0.0,0.0,2.8571959
IND272001AAA,2.278147,0.0,1.572053,0.0,1.9637578,0.0,0.0,2.037882
IND517325AAA,0.25334165,0.0,0.106706895,0.0,0.13375124,0.0,0.0,0.17890477
IND781354AAA,2.6937928,0.0,1.8219792,0.0,2.7372696,0.0,0.0,2.6550968
IND691574AAA,2.3022606,0.0,1.9670136,0.0,2.22241,0.0,0.0,2.1795762
IND577201AAA,3.0999305,0.0,2.1587257,0.0,2.816234,0.0,0.0,3.0367835
IND282001AAF,0.16538084,0.0,0.17678565,0.0,0.3014592,0.0,0.0,0.10715083
IND370615AAB,2.7223136,0.0,2.63163,0.0,3.167464,0.0,0.0,2.5590734
IND125050AAA,4.216067,0.0,3.3428764,0.0,4.0352817,0.72099733,0.0,3.804313
IND201001AAA,2.7538934,0.0,1.8943008,0.0,2.559519,0.0,0.0,2.6192174
IND302014AAB,8.357337,0.0,4.9332786,0.0,4.425319,0.0,0.0,6.0747766
IND250002AAA,2.7159374,0.0,2.1314838,0.0,2.8597994,0.0,0.0,2.8155248
IND125001AAA,6.448749,0.0,4.195687,0.0,4.252879,0.0,0.0,5.6008816
IND123401AAB,3.4297082,0.0,1.6782452,0.0,2.9796116,0.0,0.0,3.1611965
IND623701AAA,2.2817404,0.0,1.8412206,0.0,2.239848,0.117426075,0.0,2.08306
IND638657AAA,2.4788134,0.0,1.9471246,0.0,2.3326304,0.115548484,0.0,2.26188
IND712311AAA,11.451934,0.0,6.325146,0.0,4.7371182,0.0,0.0,8.570945
IND531116AAA,3.2625284,0.0,2.27054,0.0,3.0162919,0.0,0.0,3.0482273
IND574221AAA,2.88171,0.0,1.1133541,0.0,2.4322636,0.0,0.0,2.5750456
IND507123AAA,1.3404037,0.0,1.0722921,0.0,1.3517078,0.0,0.0,1.2794675
IND673573AAA,0.14423855,0.0,0.07201312,0.0,0.2864118,0.0,0.0,0.14549205
