center,n2v_0,n2v_1,n2v_2,n2v_3,n2v_4,n2v_5,n2v_6,n2v_7,n2v_8,n2v_9,n2v_10,n2v_11,n2v_12,n2v_13,n2v_14,n2v_15,n2v_16,n2v_17,n2v_18,n2v_19,n2v_20,n2v_21,n2v_22,n2v_23,n2v_24,n2v_25,n2v_26,n2v_27,n2v_28,n2v_29,n2v_30,n2v_31
IND845418AAB,0.81916535,-0.1734026,0.66218936,-1.0176743,0.46077985,-1.4487115,-0.9315499,0.41109064,1.0933774,-0.3788486,0.6753702,0.06425995,0.4393127,0.4968317,0.06704751,-0.1432222,0.030755073,0.889156,0.29134887,0.98809,0.90130264,0.90957445,-0.9874091,-0.87763447,-0.8322155,0.23348163,0.6607758,-0.400673,-1.8132029,0.93802637,-0.51039344,0.49072644
IND144527AAA,1.7115945,-0.92552704,0.7532161,-0.17859446,0.51134723,-0.70911765,-0.037003905,-0.8159265,-0.7604789,-0.4376085,1.3223225,0.7868027,0.0419636,1.4870156,-0.08451795,0.4759971,-0.15674391,0.33025923,1.5535767,0.5731713,0.71972656,1.7176019,-0.6524562,-0.43754888,0.73243725,0.5689401,-0.6480663,-0.29387093,-0.19149542,-0.14881462,-0.68359447,0.44711816
IND732204AAB,1.4588392,0.19599093,0.28936136,-0.5550558,0.99113375,1.2615921,0.22992063,0.15318559,-0.20604175,0.19168884,-0.19827098,1.2806574,0.26375756,0.8838549,1.4849772,1.0073632,0.37546882,-0.43234065,-0.21965903,0.56357676,0.44500706,1.333411,-1.1228765,-1.3049654,-1.2766699,0.200478,0.832588,-0.72219276,-1.3055316,-1.2171117,0.5078415,0.44522908
IND602105AAB,0.79511946,0.8144104,-0.500912,-0.0935971,-0.024017017,-0.054287672,0.4985824,-0.49797904,-1.2731754,-1.3189971,0.39895704,1.9125441,-0.92120624,1.0408247,0.48891902,-0.4774329,0.05263219,0.76480234,-0.4698248,1.4078277,0.32634485,-0.4329572,-0.6149671,0.17925242,-0.14543413,-1.3477633,0.049512886,-0.6607871,-0.6443137,0.18257366,0.071710214,1.5358205
IND443301AAA,0.34557593,0.53874433,0.040001336,-0.5122567,0.68679136,0.4097328,0.4764613,1.0613245,-1.6151499,-0.5061099,0.14141805,1.1301448,0.03373946,0.61981875,1.2157276,-0.28226057,-0.29086596,0.046453588,-0.24659292,1.2720665,1.4660283,0.7980747,-0.7155947,-1.1064428,-0.37334517,-1.1208808,-0.5482043,1.2418023,-0.95220435,-0.13274445,0.6679984,0.12824515
IND131301AAA,-0.16593966,-0.5155725,0.96091247,-0.44481194,-0.26154652,-1.3164568,0.15442976,0.5826994,-0.34843653,0.06090976,-0.07644657,1.0758263,0.05867499,-0.2223297,-0.12987322,-0.18739988,-0.15249738,0.46817303,-0.111787,0.29705223,1.105136,0.96155095,-1.43516,-1.0777805,0.05783647,-1.2684795,-0.17730975,-0.31877607,-0.103924856,-0.49267742,0.25334823,-0.5605277
IND505326AAB,0.7566388,0.63466674,1.0035248,-0.06359565,0.24760887,-0.27867863,-0.049570296,-1.3327463,-0.59089893,0.16352648,-0.39312962,0.87059337,0.29439393,0.9386371,0.3140446,-0.43512782,0.7381052,-0.5382533,-0.5754291,0.781807,0.9268583,0.24597906,-0.26801667,0.396581,0.4161462,-1.1945193,0.41570622,-0.6233584,-0.53529847,-1.3144858,0.46857834,1.2057409
IND473443AAA,-0.14254287,1.0045702,1.7913954,-0.30073646,0.49029478,-0.7578796,0.2963,0.7076042,-0.44255906,0.34670556,0.2544885,-0.8318668,0.009115093,0.75346416,0.94472206,0.69331384,0.56802565,0.8016581,0.19348428,1.1040899,0.47051927,0.6407993,-0.23737879,-0.47232634,-0.53755754,-0.9897837,0.15560561,-0.4999988,-2.1851892,-1.3571978,0.917424,-0.3682311
IND136128AAA,0.5213956,-0.31022453,0.85035115,-1.2758404,0.25363472,-1.0169939,0.52968645,0.2688737,-0.9618076,0.63866204,-1.1331749,1.5974054,0.017611485,-0.24722122,0.00014818131,-0.89475334,-0.057849023,0.3345927,-0.21154939,-0.030497164,1.5666012,1.5678416,-0.7316119,-0.6444164,0.54049605,-1.0075309,-0.15286034,-0.6999941,-0.12137698,-0.16870266,-0.120613374,-0.22730899
IND600076AAB,0.7890006,0.22111908,-0.35745013,-0.07103233,0.3375104,-0.8278547,0.5615918,-0.10544139,0.060709868,-1.1672732,0.075536385,0.9862875,-0.4999055,0.44068006,0.36695147,-0.2255195,0.1750151,0.64760035,-0.4040822,0.7682291,-0.11004172,-0.5389483,-0.8069152,-0.040932387,0.46317878,-1.4884654,-0.27212307,-0.878806,-0.4884578,-0.6169061,-0.28792387,0.29614183
IND246174AAA,1.4265788,-0.23042887,-0.004110225,-1.1483839,-0.51545405,-1.6929274,-1.7324146,0.17148702,0.023297703,-0.28090146,-0.5807897,0.30164787,0.25201,0.99192023,1.5737911,-0.9074197,-1.2674919,0.06592854,1.1279726,0.6427066,0.090728045,0.72454965,-1.086001,-0.32433364,0.33552402,-1.5898973,-0.24528745,-0.9881754,-0.9836098,-1.9482398,0.30432972,0.20703642
IND442605AAA,1.8906162,-0.37158495,1.5406687,-0.12515168,-0.788434,-1.5439062,0.24684986,-0.097123936,0.25444064,-1.2784258,-0.9303177,0.22236651,0.6505787,1.06646,1.9927975,-0.37673137,-1.3456328,0.9902332,1.1179504,1.0855258,-0.6607111,0.8711506,-0.21123265,-0.2219088,0.0014166817,0.083936125,-0.32846472,-0.46523917,-2.1237352,-0.4509232,1.2946033,1.0406424
IND175015AAA,0.5721847,-0.15425713,0.89724475,-1.2720973,1.2022923,-1.2620193,0.19535595,-0.1218776,-1.0067035,0.36258543,0.71608174,0.4573856,-0.10990345,1.1370167,-0.06312434,0.10077175,-0.77706516,1.179398,1.3548402,0.7579275,0.9220179,0.32905445,-1.5657454,-0.82544154,0.9094896,0.44498745,-0.6887473,-1.296804,0.48355356,0.159498,0.4587983,0.4006299
IND141109AAA,1.5773523,-1.1219537,0.9329311,-0.05583743,0.67730653,-0.95395607,0.049745463,-0.5050915,-0.5959847,-0.7988652,1.1872481,0.25811478,-0.18928094,1.0223897,-0.15364581,0.53185534,-0.08215309,0.41657153,1.1140999,0.76605403,0.6604186,1.5694753,-0.8537394,-0.42544073,0.8223315,0.3972324,-1.2143338,-0.35395575,-0.10615914,-0.115833946,-0.3924116,0.09692229
IND574216AAA,1.0608845,-0.47873306,0.52774936,-1.1266911,0.09191165,-0.28011042,0.18889427,0.2550766,-1.014233,-0.4807616,0.44917697,-0.5029377,-0.45210835,-0.22665282,0.6878865,-0.8242385,0.76191354,0.8909552,0.22843513,0.8939159,-0.19468452,-0.21151412,-0.3620143,-0.1918138,0.609505,-0.34286714,-0.14856783,-0.7776605,-0.6578185,0.033264443,0.18704075,-0.4958654
IND431514AAA,1.2342149,-0.5293717,0.53451985,-1.7462003,-0.26445222,-0.5904498,-0.35118917,-1.1981684,-0.5458895,0.23213501,0.096226014,-0.1901581,-0.20789708,0.7551121,1.128714,0.30948967,0.20279668,-0.7625001,-0.4745312,0.6623889,1.1153115,-0.30857447,-0.902458,-1.4455876,1.2244917,-0.74501985,0.007683939,0.48092228,-1.2576867,-0.11136597,0.058564067,0.29776967
IND140118AAA,0.51359355,-0.48335597,1.1836637,-0.20219824,0.7388005,-0.28972644,0.8378586,-0.013819134,-0.9940991,-0.044786807,1.0561376,0.3975842,-0.39239985,0.56029814,-0.764292,-0.082896225,-0.011893264,1.009378,0.62532526,0.5645864,0.79572827,1.1008742,-1.5674322,-0.217343,0.06630777,-0.17182185,-0.24487835,-0.95483243,0.22768812,-0.27356035,0.4430003,0.4951318
IND276129AAA,0.6932473,0.5468906,1.0271407,-1.7528431,0.5757217,-1.8367028,-0.3827569,-0.95686775,-0.28002,-1.1586946,0.18563637,0.40620634,-0.15724,1.7813327,1.0348817,-0.26855952,-0.25756934,-0.3584556,0.3584739,-0.005626651,0.6585808,1.8602118,0.2050962,0.4632431,-0.19078733,0.6583614,-0.06299523,-0.554146,-1.2733635,-0.2796966,0.7366749,0.3779854
IND122413AAE,0.66447204,-0.9871793,0.63159275,-0.18756177,1.0331262,-0.6477367,-0.30499902,-0.5848522,-0.3825593,-1.0331705,0.860731,0.37020782,-0.73973066,0.2657394,0.31232467,-0.009171979,-0.73417604,-0.7338552,-0.089290775,0.5281732,0.5422881,0.3354603,-1.6652129,-0.9331335,-0.026797067,-0.42193505,0.23323928,-0.05215535,-0.63226014,0.535202,-0.01936397,-0.8377211
IND246424AAA,1.4959129,-0.22576758,-0.0068595116,-1.1219501,-0.5060538,-1.6550543,-1.8033717,0.16740735,-0.010052784,-0.26601967,-0.5715248,0.28896835,0.21997492,0.9954208,1.5678407,-0.9203931,-1.3051656,0.11372687,1.167432,0.62802464,0.07073761,0.7684925,-1.1249796,-0.3630787,0.37797678,-1.5942068,-0.25481388,-1.006414,-0.9898614,-1.9128542,0.37496752,0.22730146
IND391110AAD,-0.04332006,0.18658361,1.3998954,0.14956287,0.34905145,-0.117152005,-1.4699764,-0.13545056,-0.7942987,-1.1904606,-0.26529276,0.5739834,-0.10965865,-0.19713594,0.10047094,0.25369865,0.2979846,0.20143524,0.27109244,0.66830206,0.06176757,0.028321495,-0.9157859,-0.54775983,0.45729077,-1.259312,-0.44327825,-0.5333568,-1.1397156,1.0274142,0.69880146,0.3880027
IND333028AAA,1.022081,-1.0601835,1.8560467,-1.5596064,-0.24789841,-0.08940093,0.17672947,-1.3260233,-0.6980928,-1.9528635,0.003953476,0.68420833,0.3639208,0.88095367,0.24709035,-0.14406824,-1.050679,-0.32860094,0.2580311,1.3173807,-0.16432136,1.3151345,0.101071775,-0.9996583,-0.4447113,-0.2666558,-0.32706052,0.5169988,0.034752447,-0.7248147,0.77349335,-0.45155168
IND804401AAA,0.87385666,0.7598594,1.1715138,-0.76985776,0.75964874,-0.61582774,-0.3504441,1.0751201,-1.6506573,0.1387824,0.86499095,1.5457684,-0.41660625,0.71817774,0.70548517,1.1482676,-0.28636715,0.2696911,-0.6179187,0.6839424,-0.87257636,2.0584884,-0.3204661,-0.27446273,-0.10594943,0.79305315,0.29609928,0.173967,-1.8151723,0.1537071,0.40031224,1.2829558
IND174307AAA,0.6211313,-0.4216289,0.7803366,-0.39408273,0.5859296,-0.44743493,0.5204238,0.15092024,-0.52568096,-0.66172767,0.92162937,0.39079478,0.021471472,0.72425705,-0.74765855,-0.12321099,0.35503602,0.70287734,0.66035306,0.63804793,0.8800901,0.9041484,-1.0858471,-0.50298864,0.48556778,-0.37745675,-0.66946137,-0.3007046,0.34259883,0.5446885,0.2314291,0.21071203
