trip_uuid,source_center,source_name,destination_center,destination_name,data,route_type,tod_bucket,osrm_distance,osrm_time,actual_time,hour_of_day,day_of_week,src_betweenness,src_bottleneck_score,src_avg_delay,src_in_degree,src_out_degree,dst_bottleneck_score,pred_time_ftl,pred_time_cart,pred_p90_ftl,pred_p90_cart,delta_time_min,delta_risk_min,cost_ftl,cost_cart,delta_cost,vot_effective,benefit_ftl,break_even_vot,recommended_route,switch,extrapolated
trip-153825970514894360,IND141003AAB,Ludhiana_GillChwk_DC (Punjab),IND142026AAA,Jagraon_DC (Punjab),test,FTL,night,40.664,31.0,40.0,2,6,0.0,0.0,0.0,0.0,2.0,6.647636358745935e-07,60.57200541680139,91.35232883056509,79.72651049200284,121.76228037397716,30.780323413763696,42.03576988197432,3719.92,1829.88,1890.04,20.0,1035.964167095017,36.48852074295053,Carting,True,False
trip-153825970514894360,IND142026AAA,Jagraon_DC (Punjab),IND141109AAA,Raikot_DC (Punjab),test,FTL,night,23.3491,35.0,51.0,3,6,3.963013983098538e-07,6.647636358745935e-07,1.6774193548387095,1.0,2.0,0.0,48.799847077828666,39.68709317292997,61.570647119027555,79.91963155151426,-9.112753904898696,18.348984432486702,3200.473,1050.7095,2149.7635,20.000024447418618,1.2347677362354426,34820.57499109287,Carting,True,False
trip-153825970514894360,IND141109AAA,Raikot_DC (Punjab),IND000000ACA,Ludhiana_MilrGanj_HB (Punjab),test,FTL,night,59.752300000000005,57.0,61.0,5,6,0.0,0.0,1.3797619047619047,1.0,1.0,0.0156099201073601,103.61093117269698,163.91553999872397,188.25853579913775,341.6766269214363,60.30460882602699,153.41809112229856,4292.569,2688.8535,1603.7155000000002,20.0,2740.2730877435256,11.70478597314239,FTL,False,False
trip-153840964571880594,IND131028AAB,Sonipat_Kundli_H (Haryana),IND247667AAB,Roorkee_IOTCEncl_L (Uttarakhand),test,FTL,afternoon,163.1561,139.0,291.0,16,0,0.0434767505003903,0.0936987471706706,2.155146051447184,19.0,18.0,0.0,235.93522438353756,484.5363212511322,292.8185551907893,664.0724948322494,248.60109686759466,371.2539396414601,7394.683,7342.0245,52.65849999999955,23.445875154114624,10180.85703998702,0.12126922241946228,FTL,False,False
trip-153840964571880594,IND247667AAB,Roorkee_IOTCEncl_L (Uttarakhand),IND249407AAA,Haridwar (Uttarakhand),test,FTL,evening,30.9921,37.0,90.0,23,0,0.0,0.0,1.879078014184397,1.0,0.0,0.0074451006150233,74.02876479349256,67.96868711765447,148.83395035044174,102.13711166532688,-6.060077675838087,-46.696838685114855,3429.763,1394.6445,2035.1184999999998,20.0,-588.1699403679103,inf,Carting,True,False
trip-153840964571880594,IND249407AAA,Haridwar (Uttarakhand),IND249201AAA,Rishikesh_DC (Uttarakhand),test,FTL,night,19.0621,23.0,36.0,1,1,0.0019910182251087,0.0074451006150233,3.739343277290635,4.0,3.0,0.0,48.56948324333956,53.5720047135998,83.31850098267122,67.54143479115523,5.002521470260241,-15.777066191515999,3071.8630000000003,857.7945000000001,2214.0685000000003,20.273801817034567,-58.51042773699934,inf,Carting,True,False
trip-153805777481903807,IND600056AAB,MAA_Poonamallee_HB (Tamil Nadu),IND600032AAB,Chennai_Hub (Tamil Nadu),test,Carting,afternoon,35.6749,32.0,92.0,14,3,0.0390644650216516,0.0797633172477622,2.0418382077817525,18.0,18.0,7.668916016691613e-06,85.44170637922454,79.83212842642185,142.19244996363167,114.41834262219477,-5.609577952802695,-27.774107341436903,3570.2470000000003,1605.3705,1964.8765000000003,22.933384291821785,-447.1237454182957,inf,Carting,False,False
trip-153816910069311424,IND122004AAA,Gurgaon_Begumpur_CP (Haryana),IND122413AAE,Gurgaon_Bilaspur_P (Haryana),test,Carting,evening,34.7591,33.0,58.0,21,4,0.0,0.0,0.0,0.0,2.0,0.0,66.21976197739896,59.171164414315044,90.17395017741266,125.31670992713032,-7.048597563083916,35.142759749717655,3542.773,1564.1594999999998,1978.6135000000004,20.0,210.45564623549822,188.0314009523838,Carting,False,False
trip-153861034802474617,IND245101AAA,Hapur_Swargash_D (Uttar Pradesh),IND201007AAA,GZB_Mohan_Nagar_DPC (Uttar Pradesh),test,Carting,night,46.5093,50.0,123.0,2,3,0.0,0.0,1.7104166666666667,1.0,1.0,0.0083900813594247,95.9402464141967,140.9414675162834,169.0953589496058,206.961058897874,45.00122110208672,37.8656999482682,3895.279,2092.9185,1802.3604999999998,20.0,1278.6814215244162,28.190923394370813,Carting,False,False
trip-153817259045362090,IND174307AAA,Bangana_Bhaleti_D (Himachal Pradesh),IND176041AAA,Bhota_BpassDPP_D (Himachal Pradesh),test,FTL,night,35.444900000000004,53.0,51.0,3,5,0.0,0.0,1.3555555555555556,1.0,1.0,0.0,62.1170789573129,64.26792050913357,86.72244863465323,122.77733999938143,2.150841551820676,36.05489136472819,3563.347,1595.0205,1968.3265000000001,20.0,403.56574468369547,97.54675791636996,Carting,True,False
